Format,pluribusunum
Peer,https://raw.github.com/Unthinkingbit/charity/master/receiver.csv
Coin,1JEnRbir5ceXZYH7HXyQZabM4LRQU7MRsx,17vec4jQGCzMEsTnivizHPaowE715tu2CB
Coin,1FyMZskjC9fXSYATVXP3TH3NNeD9E1Pynp
Coin,1DbeWKCxnVCt3sRaSAmZLoboqr8pVyFzP1
Coin,1Pc9g2fmDML3EQ1r35KR4cRABwXE9nmHXW
Coin,129ZQG33GmqYRVSCw2hw7zmDUCvvMsuGbC
Coin,1PWC7PNHL1SgvZaN7xEtygenKjWobWsCuf
Coin,1KHAL8bUjnkMRMg9yd2dNrYnJgZGH8Nj6T
Coin,1NWc7N4FAs55hJ1xdTf3KWHZD89yn2PQKV
Coin,1MDDh2h4cAZDafgc94mr9q95dhRYcJbNQo
Coin,1ABvQwiuCnySQqBzruaAcdrkgYae9LoqWz
Coin,14V7RiwD3joqDF2Jv6zst3ZnQsR686u9iH
Coin,1MbRAfeayy7bYfJ8yBVKTt41nyiGhVAz62
Coin,1JBMattRztKDF2KRS3vhjJXA7h47NEsn2c
Coin,126VZtqifE91nrBsXRkjZRMkTTvSTEMHPC
Coin,1HZNsUqQxKVLmfPfCAzLwrnVDzx8CxwxnM
Coin,163Pv9cUDJTNUbadV4HMRQSSj3ipwLURRc
Coin,17vec4jQGCzMEsTnivizHPaowE715tu2CB
Coin,1K44aRWSLkmC5KLvzp8awetNob6H99L9ND
Coin,199tVFYQyA98C5rdcnNj3zRpRCYMLmyRdn
